Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Keyvius Sampson,SFG,28,1,3,5.094338706,6,5,0,0,0,0,,17.2,77,18,11,10,1,6,0,0,1,0,18,10039
Tyler Matzek,ARI,28,0,0,7.2,9,0,0,0,0,0,,15,68,12,13,12,1,10,0,1,2,0,21,10058
Ian Krol,CIN,28,1,4,5.282608696,46,0,0,0,9,3,,46,208,54,29,27,3,22,1,2,4,0,58,10066
Caleb Thielbar,ATL,32,2,1,3.217022739,51,0,0,0,5,0,,78.1,319,75,29,28,7,16,0,2,3,0,94,10078
Brad Boxberger,CIN,31,1,1,5.142857143,13,0,0,0,1,0,,14,66,16,10,8,2,8,1,0,1,0,19,10133
Ryan Weber,BOS,28,1,5,4.5,16,16,1,0,0,0,,78,337,86,41,39,9,25,0,3,3,0,63,10160
Shelby Miller,MIL,28,1,3,4.132648798,8,8,0,0,0,0,,32.2,140,25,19,15,2,19,0,2,3,1,36,10197
Josh Smoker,LAD,30,1,2,9,12,0,0,0,0,2,,14,68,20,15,14,4,9,2,0,0,0,11,10285
Erasmo Ramirez,BOS,29,6,8,4.7393743,27,24,1,0,0,0,,125.1,537,125,75,66,18,43,0,5,6,1,95,10314
Michael Tonkin,MIL,29,3,0,5.727264783,19,0,0,0,0,2,,22,101,21,17,14,6,14,1,2,0,0,25,10315
Juan Minaya,CHW,28,4,3,3.705882353,24,0,0,0,6,1,,34,149,32,18,14,4,15,1,3,9,0,41,10341
Robbie Erlin,SDP,28,0,1,8.052644412,13,0,0,0,1,3,,19,90,32,17,17,3,3,0,2,3,0,20,10354
Brooks Pounders,CLE,28,3,3,4.313612048,43,1,0,0,1,0,,56.1,237,48,28,27,8,20,2,7,5,0,66,10387
Hunter Cervenka,STL,29,2,2,2.79877886,45,0,0,0,4,2,,54.2,225,38,20,17,2,28,0,3,6,0,68,10510
Jake Petricka,MIL,31,2,2,3.744522784,40,0,0,0,7,2,,45.2,192,43,21,19,3,15,1,1,4,0,51,10534
Jimmy Nelson,MIL,30,3,2,4.790326265,17,4,0,0,0,2,,41.1,183,35,25,22,4,24,0,3,8,0,58,10547
Donn Roach,CHW,29,3,6,7.827734605,18,16,0,0,0,0,,79.1,382,127,77,69,16,26,0,2,3,0,53,10620
Andrew Bellatti,NYY,27,3,0,5.495570305,25,0,0,0,0,0,,37.2,164,40,25,23,4,11,0,3,5,0,35,10657
Tyler Thornburg,LAD,30,0,2,9.132339365,23,1,0,0,0,3,,22.2,116,28,24,23,8,18,0,1,3,0,28,10688
Scott Copeland,WSN,31,6,5,6.218677012,31,19,0,0,0,1,,114.1,525,126,86,79,20,62,0,7,15,0,102,10706
Drew Hutchison,NYY,28,11,6,5.276647115,25,23,0,0,0,0,,131.1,584,142,88,77,20,54,1,7,7,1,133,10732
