Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Christian Bethancourt,PIT,AAA,29,0,0,0,1,0,0,0,0,0,,1,4,1,0,0,0,0,0,0,0,0,1,10028
Keyvius Sampson,CHW,AAA,30,0,1,7.2,6,0,0,0,0,1,,5,23,5,5,4,2,3,0,0,2,0,5,10039
Brooks Raley,HOU,AAA,33,0,0,0,1,0,0,0,0,0,,1,4,1,0,0,0,0,0,0,0,0,1,10061
Ian Krol,DET,AAA,30,2,0,2.454545151,20,1,0,0,4,0,,25.2,108,20,8,7,4,12,0,2,2,0,31,10066
Stephen Strasburg,WSN,AAA,32,0,0,0,1,1,0,0,0,0,,4.1,16,2,0,0,0,2,0,0,0,0,6,10131
Manny Barreda,BAL,AAA,32,2,2,3.991304877,25,2,0,0,1,1,,38.1,166,45,20,17,3,11,0,1,5,0,37,10148
Ryan Weber,SEA,AAA,30,6,4,4.284133083,17,16,0,0,0,0,,90.1,367,90,48,43,12,13,0,3,2,0,89,10160
Shelby Miller,CHC,AAA,30,2,1,2.958904496,13,4,0,0,0,0,,24.1,98,14,11,8,2,9,0,0,1,0,37,10197
Aaron Northcraft,SDP,AAA,31,0,2,8.100001931,13,0,0,0,1,0,,13.1,67,21,17,12,1,6,0,0,1,0,11,10218
Erasmo Ramirez,DET,AAA,31,1,0,3.375,5,0,0,0,0,0,,8,32,4,3,3,0,3,0,0,4,0,10,10314
Juan Minaya,MIN,AAA,30,2,3,3.413793103,17,0,0,0,0,1,,29,135,29,14,11,3,15,0,4,6,0,37,10341
Brooks Pounders,SEA,AAA,30,0,1,27.00006679,3,0,0,0,0,1,,1.1,11,3,4,4,2,3,0,1,0,0,1,10387
Mychal Givens,COL,AAA,31,0,0,9,3,1,0,0,0,0,,2,10,5,2,2,1,0,0,0,0,0,2,10430
Jake Petricka,LAA,AAA,33,5,1,3.694736471,19,0,0,0,0,3,,31.2,137,33,13,13,4,10,0,1,1,0,32,10534
Scott Alexander,LAD,AAA,31,0,0,1.928570115,5,0,0,0,0,0,,4.2,17,3,1,1,0,0,0,0,1,0,5,10591
Chris Sale,BOS,AAA,32,1,0,0.931034177,2,2,0,0,0,0,,9.2,40,7,1,1,0,4,0,0,0,0,15,10603
Andrew Bellatti,MIA,AAA,29,1,2,1.626505837,24,0,0,0,9,3,,27.2,109,14,7,5,2,10,1,3,1,0,35,10657
Drew Hutchison,DET,AAA,30,8,3,3.769811538,19,19,0,0,0,0,,88.1,379,78,42,37,8,41,0,6,7,1,89,10732
Shane Greene,ATL,AAA,32,0,0,2.076924601,4,0,0,0,0,0,,4.1,19,4,1,1,0,2,0,0,0,0,5,10756
R.J. Alaniz,CIN,AAA,30,1,3,3.286956958,32,0,0,0,1,2,,38.1,161,41,19,14,1,14,2,1,0,0,44,10819
Michael Mariot,CIN,AAA,32,5,4,4.010869565,17,16,0,0,0,0,,92,382,87,42,41,11,26,1,3,2,0,76,10835
Asher Wojciechowski,SEA,AAA,32,0,2,5.764044326,9,8,0,0,1,0,,29.2,133,35,19,19,3,11,0,2,0,0,44,10836
Adam Kolarek,OAK,AAA,32,1,0,6.627271808,34,0,0,0,0,1,,36.2,177,44,31,27,5,20,1,5,1,0,24,10843
Chasen Shreve,PIT,AAA,30,0,0,0,2,0,0,0,0,0,,2,7,1,0,0,0,0,0,0,0,0,3,10855
Josh A. Smith,MIA,AAA,33,2,0,2.755101612,8,6,0,0,0,0,,32.2,136,24,10,10,1,13,0,1,2,0,30,10946
Jake Buchanan,LAA,AAA,31,1,4,8.821780845,11,6,0,0,0,0,,33.2,165,52,35,33,7,11,0,2,0,0,28,10962
Tim Adleman,CIN,AAA,33,1,1,3.789473684,29,1,0,0,0,1,,38,156,33,17,16,4,8,0,3,1,0,37,10968
Ben Rowen,LAA,AAA,32,1,2,8.142857143,15,0,0,0,0,1,,21,97,27,20,19,2,8,0,3,0,1,12,10983
Mickey Jannis,BAL,AAA,33,0,5,4.978723404,13,5,0,0,1,0,,47,206,45,30,26,6,25,0,3,7,0,29,11071
Casey Lawrence,TOR,AAA,33,6,2,4.909090909,19,9,0,0,0,1,,55,226,57,31,30,8,7,0,3,1,1,56,11121
Vince Velasquez,PHI,AAA,29,0,0,2.699998713,2,2,0,0,0,0,,6.2,24,2,2,2,1,3,0,0,0,0,12,11189
Casey Sadler,SEA,AAA,30,0,0,0,3,0,0,0,0,0,,2.2,8,0,0,0,0,0,0,0,0,0,4,11209
Aaron Barrett,WSN,AAA,33,3,2,2.612902824,19,0,0,0,2,2,,20.2,87,16,7,6,0,13,1,2,3,0,22,11243
