Name,Team,IP,H,SO,BB,W,SV,ERA,playerid
Brad Wieck,CHC,17,10,28,10,0,0,0,16390
Kervin Castro,SFG,13.1,13,13,4,1,0,0,21656
Casey Sadler,SEA,40.1,19,37,10,0,0,0.67,11209
Nick Vincent,MIN,12.2,6,9,5,1,0,0.71,7555
David Phelps,TOR,10.1,8,15,4,0,0,0.87,6316
Aaron Loup,NYM,56.2,37,57,16,6,0,0.95,10343
Jacob deGrom,NYM,92,40,146,11,7,0,1.08,10954
Josh Hader,MIL,58.2,25,102,24,4,34,1.23,14212
Peter Solomon,HOU,14,10,10,8,1,0,1.29,20476
Art Warren,CIN,21,11,34,8,3,0,1.29,18251
Emmanuel Clase,CLE,69.2,51,74,16,4,24,1.29,21032
Ranger Suarez,PHI,106,73,107,33,8,4,1.36,17277
Ryan Brasier,BOS,12,12,9,4,1,0,1.5,5615
Dominic Leone,SFG,53.2,37,50,22,4,2,1.51,13763
Reiver Sanmartin,CIN,11.2,12,11,2,2,0,1.54,19754
Collin McHugh,TBR,64,48,74,12,6,1,1.55,7531
Joe Barlow,TEX,29,12,27,12,0,11,1.55,22296
Caleb Baragar,SFG,23,19,16,12,2,2,1.57,19231
Travis Bergen,TOR,10.2,5,6,8,2,0,1.69,18581
Drew Pomeranz,SDP,25.2,19,30,10,1,0,1.75,11426
Kendall Graveman,- - -,56,35,61,20,5,10,1.77,15514
Austin Warren,LAA,20.1,16,20,5,3,1,1.77,24937
Andrew Chafin,- - -,68.2,45,64,19,2,5,1.83,12988
Jimmy Nelson,LAD,29,14,44,13,1,0,1.86,10547
Andrew Kittredge,TBR,71.2,55,77,15,9,8,1.88,12828
Garrett Whitlock,BOS,73.1,64,81,17,8,2,1.96,20191
Luke Jackson,ATL,63.2,45,70,29,2,0,1.98,11752
Blake Treinen,LAD,72.1,46,85,25,6,7,1.99,12572
Drew Steckenrider,SEA,67.2,52,58,17,5,14,2,18806
Shane Baz,TBR,13.1,6,18,3,2,0,2.03,22264
Drew Hutchison,DET,21.1,20,10,11,3,0,2.11,10732
Jesse Chavez,ATL,33.2,22,36,11,3,0,2.14,5448
Tejay Antone,CIN,33.2,17,42,13,2,3,2.14,16233
Jordan Romano,TOR,63,41,85,25,7,23,2.14,16122
Chris Ellis,- - -,29.1,21,23,14,1,0,2.15,16125
Jonathan Loaisiga,NYY,70.2,56,69,16,9,5,2.17,19753
Kenley Jansen,LAD,69,36,86,36,4,38,2.22,3096
Tyler Rogers,SFG,81,74,55,13,7,13,2.22,15541
David Bednar,PIT,60.2,40,77,19,3,3,2.23,19569
Mark Melancon,SDP,64.2,54,59,25,4,39,2.23,4264
Ryan Pressly,HOU,64,49,81,13,5,26,2.25,7005
Alex Vesia,LAD,40,17,54,22,3,1,2.25,25007
Adam Cimber,- - -,71.2,61,51,16,3,1,2.26,15288
Craig Kimbrel,- - -,59.2,31,100,23,4,24,2.26,6655
Adam Conley,TBR,19.2,14,16,6,0,0,2.29,14457
Andre Jackson,LAD,11.2,10,10,6,0,1,2.31,21298
Louis Head,TBR,35,21,32,9,2,0,2.31,13259
Jose Alvarez,SFG,64.2,53,42,19,5,0,2.37,5358
Carlos Rodon,CHW,132.2,91,185,36,13,0,2.37,16137
Ryan Thompson,TBR,34,26,37,9,3,0,2.38,16647
Drew Smith,NYM,41.1,28,41,16,3,0,2.4,17755
Scott Barlow,KCR,74.1,61,91,28,5,16,2.42,14993
Corbin Burnes,MIL,167,123,234,34,11,0,2.43,19361
Corey Knebel,LAD,25.2,16,30,9,4,3,2.45,15010
Ryan Burr,CHW,36.2,28,33,21,2,0,2.45,17536
Max Scherzer,- - -,179.1,119,236,36,15,0,2.46,3137
Walker Buehler,LAD,207.2,149,212,52,16,0,2.47,19374
Juan Minaya,MIN,40,27,43,20,2,0,2.48,10341
Kodi Whitley,STL,25.1,15,27,12,0,0,2.49,19731
Devin Williams,MIL,54,36,87,28,8,3,2.5,15816
Luis Cessa,- - -,64.2,55,54,19,5,0,2.51,13345
Danny Duffy,KCR,61,52,65,22,4,0,2.51,3542
JT Chargois,- - -,53.2,38,53,20,6,0,2.52,13767
Liam Hendriks,CHW,71,45,113,7,8,38,2.54,3548
Kent Emanuel,HOU,17.2,12,13,4,1,0,2.55,15849
Brandon Woodruff,MIL,179.1,130,211,43,9,0,2.56,16162
T.J. McFarland,STL,38.2,32,21,9,4,0,2.56,3237
Raisel Iglesias,LAA,70,53,103,12,7,34,2.57,17130
